track,artist,bpm
"Happy - From ""Despicable Me 2""",Pharrell Williams,
Flowers - Sunship Radio Edit,Sweet Female Attitude,
"Dance, Dance",Fall Out Boy,
Dreamflasher,Jane Remover,
I'm Coming Home,Nina Nesbitt,
Rocky Road to Dublin,Jack O’Connell,
No Letting Go,Wayne Wonder,
uThando,Soa Mattrix,
Boogie Wonderland,"Earth, Wind & Fire",
Return of the Mack,Mark Morrison,
Got to Be Real,Cheryl Lynn,
Let's Groove,"Earth, Wind & Fire",
P.Y.T. (Pretty Young Thing),Michael Jackson,
Flash in the Pan,Jane Remover,
Cod Liver Oil and Orange Juice,Hamish Imlach,
Heat Waves,Glass Animals,
now i rlly kno,cr1tter,
Sun,Derik Fein,
motivational geeker,cr1tter,
The Flag is Raised,Bladee,
mOXy,cr1tter,
You've Got Your Whole Life Ahead of You Baby,IDER,
Talk Too Much,COIN,
Yellow Cab,DPR LIVE,
だいじょばない,Perfume,
Just A Feeling - Original Version,S.E.S.,
glitter ✩‧₊˚,lexycat,
a sign ~ anonymous,Billlie,
Three Of Cups,GFRIEND,
あの空の向こうがわへ,Junk Fujiyama,
愛そうぜ！,CHAI,
Girls on Film - 2010 Remaster,Duran Duran,
Makka Na CAR,frederic,
Hikkurikaesu,frederic,
I AM HUNGRY!!,cosMo@Bousou-P,
Deal with the devil,Tia,
drop pop candy (feat. ギガ),Reol,
LUVORATORRRRRY!,Reol,
More Than A Woman,Bee Gees,
右肩の蝶,noripy,
Rookie,Red Velvet,
Mr. E,Red Velvet,
Ice Cream Cake,Red Velvet,
Bad Dracula,Red Velvet,
SAPPY,Red Velvet,
View,SHINee,
Lucifer,SHINee,
Love Is The Way,Thee Sacred Souls,
Beaches,beabadoobee,
so american,Olivia Rodrigo,
Stateside,PinkPantheress,
Giri Giri,ATARASHII GAKKO!,
Push The Feeling On - Mk Dub Revisited Edit,Nightcrawlers,
Space Cowboy (Classic Radio),Jamiroquai,
Caramel,Sleep Token,
Red Flavor,Red Velvet,
Europapa,Joost,
花になって - Be a flower,Ryokuoushoku Shakai,
Head & Heart (feat. MNEK),Joel Corry,
Good Riddance (Time of Your Life),Green Day,
I Don't Feel Like Dancin',Scissor Sisters,
