track,artist,bpm,art_url,dominant_color,mood
4ÆM,Grimes,,https://images.genius.com/7212ed52c4c56879cc0090f02ce47868.700x700x1.jpg,"(19, 19, 19)",angry
OK,Joey Valence & Brae,,https://images.genius.com/6945f1d10aa800691d84c3dd97bdbddd.1000x1000x1.png,"(239, 172, 83)",angry
NISSAN ALTIMA,Doechii,,https://images.genius.com/9424d9c6dddcdab7f55ecddda88a0eab.1000x1000x1.png,"(220, 223, 216)",angry
Hellfire (from the series Arcane League of Legends),Arcane,,https://i.scdn.co/image/ab67616d0000b2734aaf2413384c1efcc38353c6,"(9, 26, 49)",angry
Leave Me Alone,Reneé Rapp,,https://images.genius.com/5a37ee45679e203f1d82b773898d5453.1000x1000x1.png,"(201, 156, 134)",angry
Too Much,Dove Cameron,,https://images.genius.com/80c457be01b064d17645dcf8b6669dd2.1000x1000x1.png,"(197, 164, 134)",angry
ballad of a homeschooled girl,Olivia Rodrigo,,https://images.genius.com/f0020189d0425c629937278a05342226.1000x1000x1.png,"(29, 23, 44)",angry
where's my head at _,Basement Jaxx,,https://images.genius.com/b49b9406836e4a5f07ad52120bc6f3c2.1000x1000x1.jpg,"(11, 11, 11)",angry
Rollin' (Air Raid Vehicle),Limp Bizkit,,https://images.genius.com/61deb3ffe56dd84b5655840ca4e9a83d.600x554x1.jpg,"(247, 247, 245)",angry
Dirt Off Your Shoulder / Lying From You,JAY-Z,,https://images.genius.com/075e26e6479ed5618fc16c1711684b21.600x600x1.jpg,"(34, 26, 22)",angry
Bonfire,Childish Gambino,,https://images.genius.com/743551af7c3e4be8ba90211ee2129752.300x300x1.jpg,"(214, 132, 49)",angry
Nosebleeds,Doechii,,https://images.genius.com/8ded976af9a1e67264b660484c6ac236.1000x1000x1.png,"(21, 17, 11)",angry
Confident,Demi Lovato,,https://images.genius.com/6e7fa36399bec35358899867b51ad688.1000x1000x1.jpg,"(242, 224, 207)",angry
GOSSIP (feat. Tom Morello),Måneskin,,https://images.genius.com/c59e6458e98278e3b715d28ec90586a2.1000x1000x1.png,"(58, 91, 104)",angry
Paint The Town Blue (from the series Arcane League of Legends),Arcane,,https://i.scdn.co/image/ab67616d0000b2734aaf2413384c1efcc38353c6,"(9, 26, 49)",angry
Don't Hurt Yourself (feat. Jack White),Beyoncé,,https://images.genius.com/e1585889f18cea8a8900b57a1fe91b90.1000x1000x1.png,"(40, 40, 40)",angry
Did It On’em,Nicki Minaj,,https://images.genius.com/44a8be97aef4cdd5114bd6cec02b2357.1000x1000x1.png,"(219, 193, 202)",angry
love is embarrassing,Olivia Rodrigo,,https://images.genius.com/f0020189d0425c629937278a05342226.1000x1000x1.png,"(29, 23, 44)",angry
HOOLIGANG,Joey Valence & Brae,,https://images.genius.com/42a5bfce1d49a23c26690d64c40149a1.1000x1000x1.png,"(185, 185, 185)",angry
Woops - Slowed + Reverb,Dj Bountyhunter,,https://i.scdn.co/image/ab67616d0000b273244ca4c8a417f888fc24ee4c,"(26, 29, 18)",angry
Itty Bitty,Ashnikko,,https://images.genius.com/e557cc7b36abd755bbbfbc84789c461e.1000x1000x1.png,"(191, 166, 172)",angry
Down with the Sickness,Disturbed,,https://images.genius.com/582ace7b91a0833256d9e3aae72d0bf5.220x217x1.png,"(197, 132, 79)",angry
Bitch I'm Nice,Doechii,,https://images.genius.com/c8982978a8c4865bc767129ae6121b07.1000x1000x1.png,"(165, 116, 115)",angry
Bitch Better Have My Money,Rihanna,,https://images.genius.com/69a76c02f8dd041b8740b66906421842.1000x1000x1.png,"(37, 40, 41)",angry
Acapella,Karmin,,https://images.genius.com/c85a5b39886c6c4d8449aadda9356d5f.1000x1000x1.png,"(233, 220, 209)",angry
Renegade (We Never Run) (from the series Arcane League of Legends),Arcane,,https://i.scdn.co/image/ab67616d0000b2734aaf2413384c1efcc38353c6,"(9, 26, 49)",angry
I've Seen Footage,Death Grips,,https://images.genius.com/e2165a89c848a461dcd120d052f3a807.500x500x1.webp,"(28, 28, 31)",angry
Fuck up the Fun,Azealia Banks,,https://images.genius.com/7edd696c6224dba9ab6f014c9f428a9c.500x500x1.png,"(150, 206, 201)",angry
